1,3,1,22,1,0,2,7,0,0
2,1,0,38,1,0,2,71,2,1
3,3,0,26,0,0,1,8,0,1
4,1,0,35,1,0,2,53,0,1
5,3,1,35,0,0,1,8,0,0
7,1,1,54,0,0,1,52,0,0
8,3,1,2,3,1,5,21,0,0
9,3,0,27,0,2,3,11,0,1
10,2,0,14,1,0,2,30,2,1
11,3,0,4,1,1,3,17,0,1
12,1,0,58,0,0,1,27,0,1
13,3,1,20,0,0,1,8,0,0
14,3,1,39,1,5,7,31,0,0
15,3,0,14,0,0,1,8,0,0
16,2,0,55,0,0,1,16,0,1
17,3,1,2,4,1,6,29,1,0
21,2,1,35,0,0,1,26,0,0
22,2,1,34,0,0,1,13,0,1
23,3,0,15,0,0,1,8,1,1
24,1,1,28,0,0,1,36,0,1
25,3,0,8,3,1,5,21,0,0
26,3,0,38,1,5,7,31,0,1
28,1,1,19,3,2,6,263,0,0
34,2,1,66,0,0,1,11,0,0
35,1,1,28,1,0,2,82,2,0
36,1,1,42,1,0,2,52,0,0
38,3,1,21,0,0,1,8,0,0
39,3,0,18,2,0,3,18,0,0
40,3,0,14,1,0,2,11,2,1
41,3,0,40,1,0,2,9,0,0
42,2,0,27,1,0,2,21,0,0
44,2,0,3,1,2,4,42,2,1
45,3,0,19,0,0,1,8,1,1
50,3,0,18,1,0,2,18,0,0
51,3,1,7,4,1,6,40,0,0
52,3,1,21,0,0,1,8,0,0
53,1,0,49,1,0,2,77,2,1
54,2,0,29,1,0,2,26,0,1
55,1,1,65,0,1,2,62,2,0
57,2,0,21,0,0,1,11,0,1
58,3,1,28,0,0,1,7,2,0
59,2,0,5,1,2,4,28,0,1
60,3,1,11,5,2,8,47,0,0
61,3,1,22,0,0,1,7,2,0
62,1,0,38,0,0,1,80,0,1
63,1,1,45,1,0,2,83,0,0
64,3,1,4,3,2,6,28,0,0
67,2,0,29,0,0,1,11,0,1
68,3,1,19,0,0,1,8,0,0
69,3,0,17,4,2,7,8,0,1
70,3,1,26,2,0,3,9,0,0
71,2,1,32,0,0,1,11,0,0
72,3,0,16,5,2,8,47,0,0
73,2,1,21,0,0,1,74,0,0
74,3,1,26,1,0,2,14,2,0
75,3,1,32,0,0,1,56,0,1
80,3,0,30,0,0,1,12,0,1
81,3,1,22,0,0,1,9,0,0
84,1,1,28,0,0,1,47,0,0
85,2,0,17,0,0,1,11,0,1
86,3,0,33,3,0,4,16,0,1
89,1,0,23,3,2,6,263,0,1
90,3,1,24,0,0,1,8,0,0
91,3,1,29,0,0,1,8,0,0
92,3,1,20,0,0,1,8,0,0
93,1,1,46,1,0,2,61,0,0
94,3,1,26,1,2,4,21,0,0
95,3,1,59,0,0,1,7,0,0
97,1,1,71,0,0,1,35,2,0
98,1,1,23,0,1,2,63,2,1
99,2,0,34,0,1,2,23,0,1
